id;name;description;start_date;estimated_end_date;status;url
1;portal reboot;holistic Peso Handcrafted;2022-11-06T22:41:20;2022-11-07T02:19:42;IN_PROGRESS;https://albert.pl
2;online Auto;HDD;2022-11-07T04:43:23;2022-11-07T20:30:57;FINISH;http://eleazar.com.pl
3;synergize;feed Oval Creek;2022-11-07T02:56:20;2022-11-07T17:20:16;NEW;http://efraim.org
4;Gruzja Small generate;web-enabled Oro Awesome;2022-11-07T13:34:06;2022-11-07T08:59:23;NEW;http://august.pl
5;Gorgeous proactive;Rapid;2022-11-07T01:48:10;2022-11-06T23:21:10;FINISH;http://hipolit.org
6;Health Dam Shoes;application connecting Pizza;2022-11-07T10:50:29;2022-11-07T07:20:28;FINISH;https://walenty.net
7;even-keeled Garden Lats;invoice bypassing Table;2022-11-06T21:03:53;2022-11-07T13:57:42;FINISH;https://paulina.org
8;Ball Executive;Cambridgeshire;2022-11-07T01:21:19;2022-11-07T18:33:17;NEW;https://martyna.com
9;pink;product red;2022-11-07T08:21:21;2022-11-07T13:49:34;IN_PROGRESS;http://roland.com
10;up;overriding SDR Warmińsko-mazurskie;2022-11-07T00:44:01;2022-11-07T19:17:10;FINISH;https://włodzimierz.org
